Animal;Treatment;Time;Sex;Black;Red
1;CT;0h;M;5;5
1;CT;1h;M;5;5
1;CT;2h;M;5;5
1;CT;3h;M;5;5
2;CT;0h;M;5;4
2;CT;1h;M;5;4
2;CT;2h;M;5;4
2;CT;3h;M;5;4
3;CT;0h;M;4;4
3;CT;1h;M;4;4
3;CT;2h;M;4;4
3;CT;3h;M;4;4
4;CT;0h;M;4;4
4;CT;1h;M;4;4
4;CT;2h;M;4;4
4;CT;3h;M;4;4
5;CT;0h;M;4;4
5;CT;1h;M;4;4
5;CT;2h;M;4;4
5;CT;3h;M;4;4
1;NA10uM;0h;M;5;5
1;NA10uM;1h;M;3;2
1;NA10uM;2h;M;3;2
1;NA10uM;3h;M;2;2
2;NA10uM;0h;M;5;4
2;NA10uM;1h;M;4;2
2;NA10uM;2h;M;3;2
2;NA10uM;3h;M;3;2
3;NA10uM;0h;M;5;4
3;NA10uM;1h;M;3;2
3;NA10uM;2h;M;3;2
3;NA10uM;3h;M;2;2
4;NA10uM;0h;M;5;5
4;NA10uM;1h;M;4;2
4;NA10uM;2h;M;2;2
4;NA10uM;3h;M;2;2
5;NA10uM;0h;M;4;4
5;NA10uM;1h;M;3;2
5;NA10uM;2h;M;3;2
5;NA10uM;3h;M;2;2
6;CT;0h;F;5;NA
6;CT;1h;F;4;NA
6;CT;2h;F;4;NA
6;CT;3h;F;4;NA
7;CT;0h;F;4;NA
7;CT;1h;F;4;NA
7;CT;2h;F;4;NA
7;CT;3h;F;4;NA
8;CT;0h;F;4;NA
8;CT;1h;F;4;NA
8;CT;2h;F;5;NA
8;CT;3h;F;4;NA
9;CT;0h;F;4;NA
9;CT;1h;F;4;NA
9;CT;2h;F;4;NA
9;CT;3h;F;4;NA
10;CT;0h;F;4;NA
10;CT;1h;F;4;NA
10;CT;2h;F;3;NA
10;CT;3h;F;4;NA
6;NA10uM;0h;F;4;NA
6;NA10uM;1h;F;3;NA
6;NA10uM;2h;F;2;NA
6;NA10uM;3h;F;2;NA
7;NA10uM;0h;F;4;NA
7;NA10uM;1h;F;2;NA
7;NA10uM;2h;F;2;NA
7;NA10uM;3h;F;2;NA
8;NA10uM;0h;F;4;NA
8;NA10uM;1h;F;2;NA
8;NA10uM;2h;F;2;NA
8;NA10uM;3h;F;2;NA
9;NA10uM;0h;F;4;NA
9;NA10uM;1h;F;3;NA
9;NA10uM;2h;F;2;NA
9;NA10uM;3h;F;2;NA
10;NA10uM;0h;F;4;NA
10;NA10uM;1h;F;2;NA
10;NA10uM;2h;F;2;NA
10;NA10uM;3h;F;2;NA
